treeId,blockId,x,y,z,className,targetname,model,source
0,0,5440,2560,256,ent_dota_tree,,models/props_tree/dire_tree007.vmdl,vrf-export-entities/maps/dota/entities/world_layer_dire_base.vents
1,0,-6080,-7168,256,ent_dota_tree,,models/props_tree/tree_oak_01.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
2,1,5568,2560,256,ent_dota_tree,,models/props_tree/dire_tree004b.vmdl,vrf-export-entities/maps/dota/entities/world_layer_dire_base.vents
3,1,-5952,-7168,256,ent_dota_tree,,models/props_tree/tree_oak_01.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
4,2,5696,2560,256,ent_dota_tree,,models/props_tree/dire_tree007.vmdl,vrf-export-entities/maps/dota/entities/world_layer_dire_base.vents
5,2,-5824,-7168,256,ent_dota_tree,,models/props_tree/tree_oak_01b.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
6,3,6976,2624,256,ent_dota_tree,,models/props_tree/dire_tree008.vmdl,vrf-export-entities/maps/dota/entities/world_layer_dire_base.vents
7,3,-5696,-7168,256,ent_dota_tree,,models/props_tree/tree_oak_01.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
8,4,7104,2624,256,ent_dota_tree,,models/props_tree/dire_tree008.vmdl,vrf-export-entities/maps/dota/entities/world_layer_dire_base.vents
9,4,-5568,-7168,256,ent_dota_tree,,models/props_tree/tree_oak_01b.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
10,5,6976,2752,256,ent_dota_tree,,models/props_tree/dire_tree007.vmdl,vrf-export-entities/maps/dota/entities/world_layer_dire_base.vents
11,5,-5440,-7168,256,ent_dota_tree,,models/props_tree/tree_oak_01.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
12,6,7104,2752,256,ent_dota_tree,,models/props_tree/dire_tree008.vmdl,vrf-export-entities/maps/dota/entities/world_layer_dire_base.vents
13,6,-5312,-7168,256,ent_dota_tree,,models/props_tree/tree_oak_01.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
14,7,4800,2816,256,ent_dota_tree,,models/props_tree/dire_tree007.vmdl,vrf-export-entities/maps/dota/entities/world_layer_dire_base.vents
15,7,-5120,-7168,256,ent_dota_tree,,models/props_tree/tree_oak_01.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
16,8,4672,2880,256,ent_dota_tree,,models/props_tree/dire_tree007.vmdl,vrf-export-entities/maps/dota/entities/world_layer_dire_base.vents
17,8,-4864,-7168,256,ent_dota_tree,,models/props_tree/tree_pine_01.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
18,9,6976,2880,256,ent_dota_tree,,models/props_tree/dire_tree004.vmdl,vrf-export-entities/maps/dota/entities/world_layer_dire_base.vents
19,9,-4736,-7168,256,ent_dota_tree,,models/props_tree/tree_pine_01.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
20,10,-4096,-7168,256,ent_dota_tree,,models/props_tree/tree_pine_01.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
21,11,7104,2880,256,ent_dota_tree,,models/props_tree/dire_tree008.vmdl,vrf-export-entities/maps/dota/entities/world_layer_dire_base.vents
22,11,-4992,-7104,256,ent_dota_tree,,models/props_tree/tree_oak_01.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
23,12,-4608,-7104,256,ent_dota_tree,,models/props_tree/tree_pine_01.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
24,13,6976,3008,256,ent_dota_tree,,models/props_tree/dire_tree004b.vmdl,vrf-export-entities/maps/dota/entities/world_layer_dire_base.vents
25,13,-4480,-7104,256,ent_dota_tree,,models/props_tree/tree_pine_01.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
26,14,-3904,-7104,256,ent_dota_tree,,models/props_tree/tree_pine_01.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
27,15,7104,3072,256,ent_dota_tree,,models/props_tree/dire_tree007.vmdl,vrf-export-entities/maps/dota/entities/world_layer_dire_base.vents
28,15,-3776,-7104,256,ent_dota_tree,,models/props_tree/tree_oak_01.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
29,16,6976,3136,256,ent_dota_tree,,models/props_tree/dire_tree008.vmdl,vrf-export-entities/maps/dota/entities/world_layer_dire_base.vents
30,16,-6080,-7040,256,ent_dota_tree,,models/props_tree/tree_oak_01.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
31,17,-5952,-7040,256,ent_dota_tree,,models/props_tree/tree_oak_01b.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
32,18,7104,3200,256,ent_dota_tree,,models/props_tree/dire_tree008.vmdl,vrf-export-entities/maps/dota/entities/world_layer_dire_base.vents
33,18,-5824,-7040,256,ent_dota_tree,,models/props_tree/tree_oak_01b.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
34,19,-5696,-7040,256,ent_dota_tree,,models/props_tree/tree_oak_01b.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
35,20,6912,3264,256,ent_dota_tree,,models/props_tree/dire_tree007.vmdl,vrf-export-entities/maps/dota/entities/world_layer_dire_base.vents
36,20,-5568,-7040,256,ent_dota_tree,,models/props_tree/tree_oak_01b.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
37,21,7104,3328,256,ent_dota_tree,,models/props_tree/dire_tree004b.vmdl,vrf-export-entities/maps/dota/entities/world_layer_dire_base.vents
38,21,-5312,-7040,256,ent_dota_tree,,models/props_tree/tree_oak_01.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
39,22,-5184,-7040,256,ent_dota_tree,,models/props_tree/tree_oak_01.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
40,23,5504,3456,256,ent_dota_tree,,models/props_tree/dire_tree008.vmdl,vrf-export-entities/maps/dota/entities/world_layer_dire_base.vents
41,23,-4864,-7040,256,ent_dota_tree,,models/props_tree/tree_pine_03b.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
42,24,-4736,-7040,256,ent_dota_tree,,models/props_tree/tree_pine_01.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
43,25,-3648,-7040,256,ent_dota_tree,,models/props_tree/tree_oak_01.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
44,26,7232,3648,256,ent_dota_tree,,models/props_tree/dire_tree004.vmdl,vrf-export-entities/maps/dota/entities/world_layer_dire_base.vents
45,26,-4992,-6976,256,ent_dota_tree,,models/props_tree/tree_pine_02.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
46,27,7296,3776,256,ent_dota_tree,,models/props_tree/dire_tree008.vmdl,vrf-export-entities/maps/dota/entities/world_layer_dire_base.vents
47,27,-4544,-6976,256,ent_dota_tree,,models/props_tree/tree_pine_01.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
48,28,-4032,-6976,256,ent_dota_tree,,models/props_tree/tree_oak_01.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
49,29,7104,3840,256,ent_dota_tree,,models/props_tree/dire_tree004.vmdl,vrf-export-entities/maps/dota/entities/world_layer_dire_base.vents
50,29,-3904,-6976,256,ent_dota_tree,,models/props_tree/tree_oak_01.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
51,30,7232,4032,256,ent_dota_tree,,models/props_tree/dire_tree004.vmdl,vrf-export-entities/maps/dota/entities/world_layer_dire_base.vents
52,30,-3776,-6976,256,ent_dota_tree,,models/props_tree/tree_oak_01b.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
53,31,-6080,-6912,256,ent_dota_tree,,models/props_tree/tree_oak_02.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
54,32,7232,4160,256,ent_dota_tree,,models/props_tree/dire_tree004.vmdl,vrf-export-entities/maps/dota/entities/world_layer_dire_base.vents
55,32,-5952,-6912,256,ent_dota_tree,,models/props_tree/tree_oak_01b.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
56,33,3840,4352,256,ent_dota_tree,,models/props_tree/dire_tree007.vmdl,vrf-export-entities/maps/dota/entities/world_layer_dire_base.vents
57,33,-5824,-6912,256,ent_dota_tree,,models/props_tree/tree_oak_01b.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
58,34,7360,4352,256,ent_dota_tree,,models/props_tree/dire_tree004.vmdl,vrf-export-entities/maps/dota/entities/world_layer_dire_base.vents
59,34,-5696,-6912,256,ent_dota_tree,,models/props_tree/tree_oak_01b.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
60,35,7232,4480,256,ent_dota_tree,,models/props_tree/dire_tree004.vmdl,vrf-export-entities/maps/dota/entities/world_layer_dire_base.vents
61,35,-5376,-6912,256,ent_dota_tree,,models/props_tree/tree_oak_01b.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
62,36,3456,4544,256,ent_dota_tree,,models/props_tree/dire_tree004.vmdl,vrf-export-entities/maps/dota/entities/world_layer_dire_base.vents
63,36,-5120,-6912,256,ent_dota_tree,,models/props_tree/tree_oak_01b.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
64,38,3968,4544,256,ent_dota_tree,,models/props_tree/dire_tree007.vmdl,vrf-export-entities/maps/dota/entities/world_layer_dire_base.vents
65,38,-4736,-6912,256,ent_dota_tree,,models/props_tree/tree_pine_01.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
66,39,3136,4608,256,ent_dota_tree,,models/props_tree/dire_tree007.vmdl,vrf-export-entities/maps/dota/entities/world_layer_dire_base.vents
67,39,-6144,-6784,256,ent_dota_tree,,models/props_tree/tree_oak_01.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
68,40,-6016,-6784,256,ent_dota_tree,,models/props_tree/tree_oak_01.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
69,41,7232,4736,256,ent_dota_tree,,models/props_tree/dire_tree004b.vmdl,vrf-export-entities/maps/dota/entities/world_layer_dire_base.vents
70,41,-5888,-6784,256,ent_dota_tree,,models/props_tree/tree_oak_01.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
71,42,3136,4864,256,ent_dota_tree,,models/props_tree/dire_tree008.vmdl,vrf-export-entities/maps/dota/entities/world_layer_dire_base.vents
72,42,-5760,-6784,256,ent_dota_tree,,models/props_tree/tree_oak_01b.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
73,43,7232,4928,256,ent_dota_tree,,models/props_tree/dire_tree007.vmdl,vrf-export-entities/maps/dota/entities/world_layer_dire_base.vents
74,43,-5632,-6784,256,ent_dota_tree,,models/props_tree/tree_oak_01.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
75,44,7360,5056,256,ent_dota_tree,,models/props_tree/dire_tree004.vmdl,vrf-export-entities/maps/dota/entities/world_layer_dire_base.vents
76,44,-5248,-6784,256,ent_dota_tree,,models/props_tree/tree_oak_01b.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
77,45,7296,5248,256,ent_dota_tree,,models/props_tree/dire_tree007.vmdl,vrf-export-entities/maps/dota/entities/world_layer_dire_base.vents
78,45,-3776,-6784,256,ent_dota_tree,,models/props_tree/tree_oak_01.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
79,46,-5504,-6720,256,ent_dota_tree,,models/props_tree/tree_oak_01b.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
80,47,3520,6336,256,ent_dota_tree,,models/props_tree/dire_tree004b.vmdl,vrf-export-entities/maps/dota/entities/world_layer_dire_base.vents
81,47,-6144,-6656,256,ent_dota_tree,,models/props_tree/tree_oak_01.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
82,48,3392,6400,256,ent_dota_tree,,models/props_tree/dire_tree004b.vmdl,vrf-export-entities/maps/dota/entities/world_layer_dire_base.vents
83,48,-6016,-6656,256,ent_dota_tree,,models/props_tree/tree_oak_02.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
84,49,4288,6528,256,ent_dota_tree,,models/props_tree/dire_tree004.vmdl,vrf-export-entities/maps/dota/entities/world_layer_dire_base.vents
85,50,5248,6528,256,ent_dota_tree,,models/props_tree/dire_tree004.vmdl,vrf-export-entities/maps/dota/entities/world_layer_dire_base.vents
86,50,-5760,-6656,256,ent_dota_tree,,models/props_tree/tree_oak_01b.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
87,51,3264,6592,256,ent_dota_tree,,models/props_tree/dire_tree004.vmdl,vrf-export-entities/maps/dota/entities/world_layer_dire_base.vents
88,51,-3840,-6656,256,ent_dota_tree,,models/props_tree/tree_oak_01b.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
89,52,5056,6592,256,ent_dota_tree,,models/props_tree/dire_tree007.vmdl,vrf-export-entities/maps/dota/entities/world_layer_dire_base.vents
90,53,5504,6592,256,ent_dota_tree,,models/props_tree/dire_tree004.vmdl,vrf-export-entities/maps/dota/entities/world_layer_dire_base.vents
91,53,-5632,-6592,256,ent_dota_tree,,models/props_tree/tree_oak_01b.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
92,54,5632,6592,256,ent_dota_tree,,models/props_tree/dire_tree004.vmdl,vrf-export-entities/maps/dota/entities/world_layer_dire_base.vents
93,54,-6144,-6528,256,ent_dota_tree,,models/props_tree/tree_oak_01.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
94,55,4288,6656,256,ent_dota_tree,,models/props_tree/dire_tree004b.vmdl,vrf-export-entities/maps/dota/entities/world_layer_dire_base.vents
95,56,4608,6656,256,ent_dota_tree,,models/props_tree/dire_tree004.vmdl,vrf-export-entities/maps/dota/entities/world_layer_dire_base.vents
96,57,-7424,-5632,256,ent_dota_tree,,models/props_tree/tree_oak_02.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
97,58,4864,6656,256,ent_dota_tree,,models/props_tree/dire_tree007.vmdl,vrf-export-entities/maps/dota/entities/world_layer_dire_base.vents
98,58,-7296,-5632,256,ent_dota_tree,,models/props_tree/tree_oak_02.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
99,59,5248,6656,256,ent_dota_tree,,models/props_tree/dire_tree004.vmdl,vrf-export-entities/maps/dota/entities/world_layer_dire_base.vents
100,59,-7168,-5632,256,ent_dota_tree,,models/props_tree/tree_oak_01.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
101,60,3136,6720,256,ent_dota_tree,,models/props_tree/dire_tree007.vmdl,vrf-export-entities/maps/dota/entities/world_layer_dire_base.vents
102,61,3264,6720,256,ent_dota_tree,,models/props_tree/dire_tree004.vmdl,vrf-export-entities/maps/dota/entities/world_layer_dire_base.vents
103,61,-7552,-5504,256,ent_dota_tree,,models/props_tree/tree_oak_02.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
104,62,3712,6720,256,ent_dota_tree,,models/props_tree/tree_oak_01.vmdl,vrf-export-entities/maps/dota/entities/world_layer_dire_base.vents
105,62,-7168,-5504,256,ent_dota_tree,,models/props_tree/tree_oak_01b.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
106,63,4416,6720,256,ent_dota_tree,,models/props_tree/dire_tree004.vmdl,vrf-export-entities/maps/dota/entities/world_layer_dire_base.vents
107,64,5120,6720,256,ent_dota_tree,,models/props_tree/dire_tree004.vmdl,vrf-export-entities/maps/dota/entities/world_layer_dire_base.vents
108,64,-7424,-5440,256,ent_dota_tree,,models/props_tree/tree_oak_01b.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
109,65,5376,6720,256,ent_dota_tree,,models/props_tree/dire_tree004.vmdl,vrf-export-entities/maps/dota/entities/world_layer_dire_base.vents
110,65,-7552,-5312,256,ent_dota_tree,,models/props_tree/tree_oak_02.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
111,66,5568,6720,256,ent_dota_tree,,models/props_tree/dire_tree007.vmdl,vrf-export-entities/maps/dota/entities/world_layer_dire_base.vents
112,66,-7168,-5248,256,ent_dota_tree,,models/props_tree/tree_oak_01.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
113,67,5760,6720,256,ent_dota_tree,,models/props_tree/tree_oak_01b.vmdl,vrf-export-entities/maps/dota/entities/world_layer_dire_base.vents
114,67,-7552,-5120,256,ent_dota_tree,,models/props_tree/tree_oak_02.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
115,68,-7424,-5120,256,ent_dota_tree,,models/props_tree/tree_oak_01.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
116,69,3584,6784,256,ent_dota_tree,,models/props_tree/dire_tree007.vmdl,vrf-export-entities/maps/dota/entities/world_layer_dire_base.vents
117,69,-7296,-5120,256,ent_dota_tree,,models/props_tree/tree_oak_02.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
118,70,4224,6784,256,ent_dota_tree,,models/props_tree/dire_tree004.vmdl,vrf-export-entities/maps/dota/entities/world_layer_dire_base.vents
119,70,-7168,-5056,256,ent_dota_tree,,models/props_tree/tree_oak_01b.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
120,71,4608,6784,256,ent_dota_tree,,models/props_tree/dire_tree004.vmdl,vrf-export-entities/maps/dota/entities/world_layer_dire_base.vents
121,72,3072,6848,256,ent_dota_tree,,models/props_tree/dire_tree007.vmdl,vrf-export-entities/maps/dota/entities/world_layer_dire_base.vents
122,72,-7424,-4992,256,ent_dota_tree,,models/props_tree/tree_oak_01.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
123,73,3328,6848,256,ent_dota_tree,,models/props_tree/dire_tree007.vmdl,vrf-export-entities/maps/dota/entities/world_layer_dire_base.vents
124,74,4480,6848,256,ent_dota_tree,,models/props_tree/dire_tree004.vmdl,vrf-export-entities/maps/dota/entities/world_layer_dire_base.vents
125,74,-7552,-4928,256,ent_dota_tree,,models/props_tree/tree_oak_02.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
126,75,4736,6848,256,ent_dota_tree,,models/props_tree/dire_tree004.vmdl,vrf-export-entities/maps/dota/entities/world_layer_dire_base.vents
127,75,-7296,-4928,256,ent_dota_tree,,models/props_tree/tree_oak_01.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
128,76,-7168,-4928,256,ent_dota_tree,,models/props_tree/tree_oak_01.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
129,77,5312,6848,256,ent_dota_tree,,models/props_tree/dire_tree007.vmdl,vrf-export-entities/maps/dota/entities/world_layer_dire_base.vents
130,77,-4352,-4928,256,ent_dota_tree,,models/props_tree/tree_oak_02.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
131,78,-7424,-4864,256,ent_dota_tree,,models/props_tree/tree_oak_02.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
132,79,-7680,-4800,256,ent_dota_tree,,models/props_tree/tree_oak_01b.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
133,80,5440,6848,256,ent_dota_tree,,models/props_tree/dire_tree004.vmdl,vrf-export-entities/maps/dota/entities/world_layer_dire_base.vents
134,80,-7488,-4736,256,ent_dota_tree,,models/props_tree/tree_oak_01.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
